0	AFFECTS
1	ASSOCIATED_WITH
2	AUGMENTS
3	CAUSES
4	COEXISTS_WITH
5	INHIBITS
6	INTERACTS_WITH
7	DISRUPTS
8	STIMULATES
9	PRODUCES
